time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.640000000000002,-1.58250615796,2.16880026085,17.2534340631,0.188712969427,0.0895408547173,0.0,-1.58898186233,2.59039094495,4.66641119414,-0.0308206248298,0.015685392089,0.0,416.86255203196436,416.8482235485178,416.9161794719005,416.8869936475025
2.660000000000002,-1.61450545588,2.22104268253,17.3471427426,0.188604701883,0.0898979941247,0.0,-1.61094792938,2.63385122249,4.70445675646,-0.0263122106846,0.0143673395007,0.0,470.34655741385626,470.0400679571019,469.50951985969834,470.55757970718565
2.680000000000002,-1.64690773236,2.2740758004,17.4412053189,0.188531438738,0.0907452512452,0.0,-1.62927971908,2.6694605647,4.70180087827,-0.0220555403048,0.00963485461203,0.0,433.0959912230717,431.8999212681262,431.36186938167623,432.43891440452995
2.700000000000002,-1.67971982202,2.32790559429,17.5356613373,0.188154614412,0.093190054501,0.0,-1.6519292471,2.7135188248,4.74380096054,-0.0204519632948,0.000143582487611,0.0,475.67170983997255,473.48574958874894,473.5600085357133,473.9299768947265
2.720000000000002,-1.71294637391,2.38252590124,17.6304893057,0.187820130536,0.0931944721544,0.0,-1.6707259421,2.74851187018,4.73899587775,-0.0221788725501,0.000392259282228,0.0,430.5006409707553,430.5637690774109,431.09499972261875,430.6569461349303
2.740000000000002,-1.74655790518,2.43786249966,17.7253143145,0.188267175591,0.0932177774791,0.0,-1.69042718415,2.78514797157,4.7435049995,-0.0162102127146,-0.000394128383714,0.0,438.82775337390865,438.63183604673065,440.1528379470871,441.6324553369632
2.760000000000002,-1.78057778118,2.49396036003,17.8203773244,0.188095861277,0.0957994797185,0.0,-1.71156041604,2.82463806586,4.76279599632,-0.0137372392772,0.00978346427278,0.0,453.4910200399263,455.9373580730638,453.028055547577,453.62438761110775
2.780000000000002,-1.81501488214,2.55082526253,17.9157118339,0.188140158866,0.0959992995136,0.0,-1.73214968049,2.8618521835,4.77065494703,-0.0101648878105,0.0101909202689,0.0,444.1894852377072,444.28960917951,442.36028050820136,443.2421711445259
2.800000000000002,-1.84983663531,2.60838005403,18.0109205319,0.188354017102,0.0962071493444,0.0,-1.75002563586,2.89362696667,4.75021485662,-0.00608000841563,0.0105924884616,0.0,416.1695874836325,416.2749229527207,414.5747460593412,415.65042933007385
2.820000000000002,-1.88504935473,2.66663391448,18.106055067,0.18943330151,0.0967938533308,0.0,-1.77124630618,2.93175907819,4.763238654,0.000850747897142,0.00672025800781,0.0,448.7657581692917,447.82154930760834,447.85661039034443,449.5449562384007
2.840000000000002,-1.92069339541,2.72566276955,18.2015050792,0.191088572909,0.0969343024054,0.0,-1.79315776246,2.97112642948,4.78176256701,-0.00724432823725,0.00721194549025,0.0,453.66952315969485,453.78785558555705,455.17851721659906,453.23053981684393
2.860000000000002,-1.95672682871,2.78538565711,18.2968266772,0.190943708181,0.0970808563071,0.0,-1.81018556688,3.00116232612,4.75039722883,-0.0072147735544,0.0075162474377,0.0,404.90732774803774,404.9893575251163,404.8382358461705,404.84632181985916
2.880000000000002,-1.99319869736,2.84589821454,18.3925032433,0.192100209716,0.0979199414235,0.0,-1.83700129867,3.05009341681,4.81725938094,-0.0144280862633,0.012765095569,0.0,497.2455611404153,498.39779845658643,497.64402724733714,496.05740308036025
2.900000000000002,-2.03012005956,2.90721842354,18.4886246526,0.193022613847,0.0986018237802,0.0,-1.85513492141,3.08192748344,4.79488154628,-0.0213878732043,0.0086343307717,0.0,415.4463112390141,414.35799567234545,415.77221106903704,413.9386130915569
2.920000000000002,-2.06736717393,2.96910203412,18.5839180976,0.192658189597,0.0988329060095,0.0,-1.86957651498,3.10643357461,4.7344629606,-0.0229795165577,0.0101626712304,0.0,372.9559044374845,373.4034585501805,374.445366036028,373.98035849807803
2.940000000000002,-2.10500887497,3.03167772242,18.6790448069,0.192208078218,0.0996213920502,0.0,-1.89459358974,3.15113525521,4.77820796316,-0.0223637584297,0.0150009875328,0.0,477.3748868512199,478.48121256476725,476.7420577073342,476.88320139620106
2.960000000000002,-2.1431512134,3.09514212537,18.7750286964,0.191948621819,0.101365256824,0.0,-1.91964025276,3.19530503928,4.82018098965,-0.0251046981969,0.00740139537877,0.0,476.95198393200235,475.2071818021945,476.78646097458983,476.1577388159397
2.980000000000002,-2.18176612602,3.15942715478,18.8715361689,0.192450823854,0.101777006455,0.0,-1.94185100953,3.2331979023,4.83056625825,-0.0187665722955,0.00415349313954,0.0,447.5538817344975,446.7598799763389,447.4538010998697,448.99924025873474
